DT,CUST_ID,PROD_ID,PROD_AGE,PROD_TYPE,PRICE,QUANTITY,REVENUE
03-01-2005,W005ES,RORE020,0,Seeds,0.49,140,68.78
03-01-2005,W008US,WAFI003,6-10,Plants,71.19,14,996.63
03-01-2005,W016PT,SYRO011,0,Seeds,0.41,760,312.08
04-01-2005,W011NL,ARCA006,3-5,Plants,27.73,3,83.19
05-01-2005,R001UK,NARI005,11-20,Plants,202.58,1,202.58
05-01-2005,W010AU,CHEL014,0,Seeds,0.44,310,136.85
05-01-2005,W001UK,CYRE010,21-100,Plants,517.17,4,2068.69
06-01-2005,W009PL,WAFI003,11-20,Plants,173.80,14,2433.18
06-01-2005,W004NL,PHRO012,0,Seeds,0.42,390,164.38
06-01-2005,W011NL,NARI005,0,Seeds,0.32,1070,346.82
07-01-2005,R002UK,TRTA018,0,Seeds,0.48,40,19.04
07-01-2005,W003IT,SERE013,11-20,Plants,269.83,1,269.83
07-01-2005,W011NL,MUBA009,0,Seeds,0.39,390,150.79
10-01-2005,W008US,MUBA009,0,Seeds,0.39,210,81.19
10-01-2005,R001UK,MUBA009,6-10,Plants,98.98,1,98.98
10-01-2005,R003SE,NARI005,11-20,Plants,202.58,1,202.58
11-01-2005,R001UK,ARCA006,0,Seeds,0.34,20,6.85
11-01-2005,W002UK,SERE013,0,Seeds,0.43,20,8.63
12-01-2005,W005ES,SYRO011,0,Seeds,0.41,650,266.91
12-01-2005,W010AU,CHHU007,0,Seeds,0.36,800,286.85
12-01-2005,R003SE,CHEL014,0,Seeds,0.44,30,13.24
13-01-2005,W011NL,ARCA006,1-2,Plants,5.48,19,104.08
13-01-2005,W010AU,YUEL002,3-5,Plants,19.94,59,1176.73
14-01-2005,R005IE,YUEL002,0,Seeds,0.25,20,4.92
14-01-2005,R002UK,PHRO012,6-10,Plants,107.90,1,107.90
15-01-2005,R003SE,CHHU007,3-5,Plants,29.04,3,87.13
17-01-2005,W003IT,TRFO004,0,Seeds,0.30,340,103.07
17-01-2005,R002UK,TRTA018,0,Seeds,0.48,10,4.76
17-01-2005,W005ES,CHMI015,0,Seeds,0.45,410,184.77
18-01-2005,W005ES,TRFO004,1-2,Plants,4.85,145,703.29
19-01-2005,W006PL,CHEL014,0,Seeds,0.44,160,70.63
19-01-2005,W001UK,CHMI015,0,Seeds,0.45,280,126.19
19-01-2005,R003SE,TRTA018,0,Seeds,0.48,10,4.76
20-01-2005,R005IE,SYRO011,21-100,Plants,532.17,1,532.17
20-01-2005,W007GE,SYRO011,1-2,Plants,6.57,4,26.28
21-01-2005,R002UK,CHEL014,0,Seeds,0.44,20,8.83
21-01-2005,R003SE,CHHU007,3-5,Plants,29.04,1,29.04
21-01-2005,W006PL,CONU019,0,Seeds,0.48,40,19.35
24-01-2005,W011NL,CHEL014,0,Seeds,0.44,680,300.18
